Fecha;TRM
18/09/2021;3828,18
21/09/2021;3851,22
22/09/2021;3843,77
23/09/2021;3834,66
24/09/2021;3835,67
25/09/2021;3844,88
28/09/2021;3837,91
29/09/2021;3841,94
30/09/2021;3834,68
01/10/2021;3812,77
02/10/2021;3781,35
05/10/2021;3786,05
06/10/2021;3796,3
07/10/2021;3788,03
08/10/2021;3772,44
09/10/2021;3765,8
13/10/2021;3738,48
14/10/2021;3725,75
15/10/2021;3755,29
16/10/2021;3772,49
20/10/2021;3766,94
21/10/2021;3770,58
22/10/2021;3783,3
23/10/2021;3780,38
26/10/2021;3769,98
27/10/2021;3774,46
28/10/2021;3761,21
29/10/2021;3766,1
30/10/2021;3784,44
03/11/2021;3778,69
04/11/2021;3837,84
05/11/2021;3847,4
06/11/2021;3881,76
09/11/2021;3874,41
10/11/2021;3876,86
11/11/2021;3875,38
13/11/2021;3888,53
17/11/2021;3898,84
18/11/2021;3907,95
19/11/2021;3943,43
20/11/2021;3923,53
23/11/2021;3913,26
24/11/2021;3944,37
25/11/2021;3969,49
27/11/2021;4008,13
30/11/2021;4010,98
01/12/2021;4004,54
02/12/2021;3953,26
03/12/2021;3945,18
04/12/2021;3948,33
07/12/2021;3944
08/12/2021;3906,1
10/12/2021;3899,87
11/12/2021;3887,71
14/12/2021;3886,87
15/12/2021;3936,41
16/12/2021;3990,27
17/12/2021;4002,97
18/12/2021;3999,85
21/12/2021;4002,12
22/12/2021;3996,28
23/12/2021;3997,71
24/12/2021;3997,09
25/12/2021;3994,15
28/12/2021;3989,41
29/12/2021;4004
30/12/2021;4023,68
31/12/2021;3981,16
04/01/2022;4082,75
05/01/2022;4084,11
06/01/2022;4042,36
07/01/2022;4039,31
08/01/2022;4043,46
12/01/2022;4011,65
13/01/2022;3970,08
14/01/2022;3950,4
15/01/2022;3993,65
19/01/2022;4033,37
20/01/2022;4003,95
21/01/2022;3980,8
22/01/2022;3964,3
25/01/2022;3977,51
26/01/2022;3987,32
27/01/2022;3947,83
28/01/2022;3944,04
29/01/2022;3982,6
01/02/2022;3942,73
02/02/2022;3923,61
03/02/2022;3928,05
04/02/2022;3951,96
05/02/2022;3962,68
08/02/2022;3963,84
09/02/2022;3965,41
10/02/2022;3939,31
11/02/2022;3917,75
12/02/2022;3917,52
15/02/2022;3938,97
16/02/2022;3946,88
17/02/2022;3963,72
18/02/2022;3953,26
19/02/2022;3927,25
23/02/2022;3932,4
24/02/2022;3913,79
25/02/2022;3940,2
26/02/2022;3910,64
01/03/2022;3910,28
02/03/2022;3901,62
03/03/2022;3862,95
04/03/2022;3771,77
05/03/2022;3806,11
08/03/2022;3813,41
09/03/2022;3787,18
10/03/2022;3746,43
11/03/2022;3786
12/03/2022;3827,64
15/03/2022;3800,85
16/03/2022;3836,56
17/03/2022;3826,89
18/03/2022;3816,43
19/03/2022;3820,67
23/03/2022;3765,67
24/03/2022;3756,64
25/03/2022;3798,9
26/03/2022;3785,66
29/03/2022;3785,7
30/03/2022;3765,96
31/03/2022;3748,15
01/04/2022;3756,03
02/04/2022;3774,79
